week,shop,unknown,product/pack-permis-complet,product/pack-permis-complet-sans-code,product/pack-permis-complet-sans-code-lead,product/pack-permis-complet-revolut,product/pack-permis-complet-boite-automatique,emailcrm,product/pack-permis-complet-boite-automatique-sans-code,product/pack-permis-complet-boite-automatique-sans-code-lead,product/pack-5h,product/pack-10h,product/conduite-accompagnee-first,product/pack-20h,product/pack-permis-complet-boite-automatique-revolut,emailcrmheader,product/pack-5h-boite-automatique,product/pack-10h-boite-automatique,checkout/pack-permis-complet,product/conduite-accompagnee-boite-automatique-first,checkout/pack-permis-complet-sans-code,infocards,checkout/pack-permis-complet-sans-code-lead,checkout/pack-permis-complet-boite-automatique,checkout/pack-permis-complet-revolut,checkout/pack-permis-complet-boite-automatique-sans-code-lead,checkout/pack-5h,checkout/conduite-accompagnee-first,checkout/pack-permis-complet-boite-automatique-sans-code,checkout/pack-5h-boite-automatique,product/rendez-vous-pedagogiques,checkout/pack-10h,checkout/pack-permis-complet-boite-automatique-revolut,chatbot_support,product/pack-permis-casa-nord-france,home_widget,checkout/pack-10h-boite-automatique,checkout/pack-20h,checkout/conduite-accompagnee-boite-automatique-first,product/pack-permis-boite-automatique-casa-nord-france,product/rendez-vous-pedagogiques-automatique,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus,checkout/pack-permis-complet-et-reussite-code-plus,checkout/pack-permis-casa-nord-france,checkout/rendez-vous-pedagogiques,checkout/pack-permis-complet-boite-automatique-et-reussite-code-plus,checkout/pack-permis-boite-automatique-casa-nord-france,checkout/pack-permis-complet-boite-automatique-sans-code-et-reussite-conduite-plus-lead,emailcrm&utm_medium=email&utm_source=crm&utm_campaign=3b74f603-2f61-4df1-9869-4dff5e11d8e9,permis_widget
2026-W14,83.5,65.9,73.5,76.0,75.0,73.2,70.5,89.2,71.2,80.4,73.1,78.1,54.5,76.5,82.6,77.6,63.6,50.0,57.1,100.0,72.7,0,73.3,66.7,50.0,100.0,66.7,50.0,100.0,100.0,100.0,80.0,60.0,0,50.0,0.0,0,100.0,0,100.0,100.0,0,0,0,0,0,0,0,0,0
2026-W15,87.5,65.4,73.6,77.3,88.3,74.0,83.3,91.7,96.8,81.8,81.6,78.9,78.6,85.0,90.0,85.0,92.3,66.7,80.0,90.0,37.5,0,100.0,50.0,75.0,75.0,50.0,0.0,100.0,75.0,100.0,100.0,50.0,0,100.0,100.0,0.0,100.0,0,100.0,0,0,0,0,0,0,0,0,0,0
2026-W16,87.0,66.2,85.0,77.3,86.5,71.0,82.8,76.1,84.6,81.6,76.5,77.8,85.0,83.3,73.1,80.9,61.1,80.0,81.2,70.0,90.0,0,75.0,60.0,100.0,83.3,81.8,66.7,71.4,100.0,80.0,100.0,75.0,0,87.5,100.0,100.0,0.0,100.0,0.0,100.0,0,0,0,0,0,100.0,0,0,0
2026-W17,83.3,68.6,80.5,87.2,79.1,77.3,90.0,75.6,86.4,83.8,86.5,86.2,77.5,94.3,90.6,87.9,73.7,71.4,83.3,100.0,60.0,0,62.5,50.0,70.0,100.0,100.0,100.0,33.3,80.0,100.0,100.0,75.0,0,100.0,100.0,0,66.7,0,100.0,0,0,0,100.0,0,0,0,0,0,0
2026-W18,86.2,59.6,74.2,81.2,73.7,83.5,87.5,87.9,78.6,90.3,76.3,69.7,82.9,97.1,72.4,83.3,68.2,88.9,57.1,63.6,75.0,0,80.0,100.0,78.6,66.7,75.0,100.0,100.0,100.0,50.0,100.0,50.0,0,0,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-W19,85.1,69.0,74.7,78.6,83.9,72.4,77.1,77.5,78.8,82.7,76.5,69.0,83.1,93.8,88.2,83.8,76.2,69.2,90.0,71.4,100.0,0,87.5,0,100.0,88.9,80.0,100.0,75.0,66.7,100.0,40.0,66.7,0,0,0,100.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0
2026-W20,88.7,72.0,76.4,73.6,81.9,80.7,78.9,81.5,80.5,69.0,74.4,75.9,84.8,94.4,96.2,76.1,61.5,85.7,80.0,40.0,83.3,0,85.7,77.8,88.9,100.0,50.0,100.0,60.0,66.7,66.7,40.0,100.0,0,0,100.0,0.0,100.0,100.0,0,100.0,0,0,0,0,0,0,0,0,0
2026-W21,86.0,81.2,84.1,85.7,87.5,82.3,81.1,84.2,68.8,89.7,82.9,78.9,81.8,92.3,84.8,92.6,66.7,66.7,85.7,70.0,80.0,0,84.6,100.0,100.0,100.0,50.0,66.7,100.0,20.0,66.7,100.0,66.7,0,0,0,100.0,33.3,0.0,0,100.0,0,0,0,0,0,0,0,0,0
2026-W22,86.6,67.7,87.1,81.8,82.4,79.7,94.6,76.2,79.4,85.1,86.5,87.5,79.3,100.0,79.2,72.5,83.3,85.7,71.4,75.0,80.0,0,92.3,100.0,75.0,66.7,100.0,83.3,100.0,80.0,0,50.0,0,0,0,0,100.0,0,0,0,0,0,0,0,100.0,0,0,0,0,0
2026-W23,89.8,65.1,74.3,86.2,87.5,81.9,76.7,71.8,91.4,75.9,83.3,63.0,86.3,73.9,75.0,76.4,100.0,78.6,75.0,92.3,88.9,0,80.0,85.7,85.7,88.9,100.0,100.0,83.3,75.0,100.0,60.0,0,0,0,0,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0
